id_venta,fecha,producto,categoria,cantidad,precio_unitario,vendedor,region,metodo_pago,cliente_frecuente
684,2025-04-13,Laptop gamer 15 pulgadas,Laptops,1,817240.0,Fabiola Araya,Alajuela,Transferencia,Sí
352,2025-05-28,Funda protectora celular,accesorios,5,3942.0,Fabiola Araya,Cartago,Transferencia,No
937,2025-07-14,Monitor 27 pulgadas curvo,Monitores,1,292290.0,Kevin Solano,Heredia,Efectivo,Sí
61,2025-09-22,Laptop 14 pulgadas,Laptops,4,403100.0,Kevin Solano,Heredia,Efectivo,No
1027,2025-04-08,Parlante bluetooth,Audio,2,23178.0,Luis Chinchilla,San José,Efectivo,No
879,2025-05-25,Celular gama alta,Celulares,3,500235.0,Kevin Solano,Alajuela,Tarjeta,Sí
859,2025-05-18,Celular gama media,Celulares,4,175380.0,Luis Chinchilla,Puntarenas,Efectivo,No
1105,2025-06-05,Parlante bluetooth,Audio,1,46567.0,Luis Chinchilla,Puntarenas,Efectivo,Sí
445,2025-01-14,Laptop 14 pulgadas,Laptops,2,499771.0,Fabiola Araya,,Tarjeta,No
461,2025-07-09,Audífonos inalámbricos,Audio,5,28480.0,Kevin Solano,Puntarenas,Sinpe Móvil,Sí
529,2025-01-18,Monitor 27 pulgadas curvo,Monitores,1,309628.0,Luis Chinchilla,Limón,Tarjeta,No
96,2025-07-07,Mouse inalámbrico,Accesorios,1,9600.0,marisol vargas,Puntarenas,Tarjeta,No
841,2025-07-04,Teclado mecánico,Accesorios,5,34592.0,Kevin Solano,Cartago,Tarjeta,No
149,2025-06-23,Monitor 24 pulgadas,Monitores,5,144700.0,Kevin Solano,Cartago,Transferencia,No
329,2025-02-16,Cargador portátil (power bank),Accesorios,2,20543.0,Marisol Vargas,Heredia,Tarjeta,No
1090,2025-01-04,Laptop 14 pulgadas,Laptops,4,533313.0,Kevin Solano,Guanacaste,Efectivo,No
62,2025-05-31,Laptop gamer 15 pulgadas,Laptops,1,1030500.0,Marisol Vargas,Guanacaste,Transferencia,No
825,2025-06-30,Mouse inalámbrico,Accesorios,5,10035.0,Kevin Solano,Puntarenas,Transferencia,Sí
705,2025-02-15,Funda protectora celular,Accesorios,2,6088.0,Fabiola Araya,Guanacaste,Sinpe Móvil,No 
257,2025-02-05,Audífonos inalámbricos,Audio,5,16631.0,Ana Rojas,Guanacaste,Tarjeta,Sí
1004,2025-01-17,Audífonos inalámbricos,Audio,3,38618.0,Ana Rojas,Heredia,Efectivo,NO
289,2025-08-14,Monitor 24 pulgadas,Monitores,1,159948.0,Ana Rojas,Cartago,Transferencia,No
342,2025-05-03,Laptop gamer 15 pulgadas,Laptops,5,885315.0,Fabiola Araya,Alajuela,Transferencia,No
995,2025-09-04,Celular gama alta,Celulares,1,411889.0,Marisol Vargas,Limón,Transferencia,No
450,2025-01-14,Funda protectora celular,Accesorios,3,5804.0,Kevin Solano,Guanacaste,Efectivo,Sí
416,30/07/2025,Cargador portátil (power bank),Accesorios,3,17116.0,ana rojas,Guanacaste,Transferencia,no
725,2025-09-02,Parlante bluetooth,Audio,4,43412.0,Ana Rojas,Alajuela,Efectivo,Sí
866,2025-05-07,Funda protectora celular,Accesorios,1,,Luis Chinchilla,Heredia,Efectivo,No
805,2025-09-02,Monitor 24 pulgadas,Monitores,2,173706.0,Luis Chinchilla,Cartago,Sinpe Móvil,No
105,2025-09-27,Monitor 24 pulgadas,Monitores,1,114400.0,Kevin Solano,Limón,Transferencia,No
1106,2025-04-27,Parlante bluetooth,Audio,3,26136.0,Ana Rojas,,Sinpe Móvil,Sí
1073,2025-06-25,Celular gama alta,Celulares,3,525429.0,Marisol Vargas,Limón,Sinpe Móvil,No
282,2025-06-21,Monitor 27 pulgadas curvo,Monitores,1,297205.0,Ana Rojas,San José,Transferencia,Sí
354,2025-07-15,Laptop gamer 15 pulgadas,Laptops,5,873069.0,Kevin Solano,San José,Transferencia,Sí
394,2025-04-28,Monitor 27 pulgadas curvo, Monitores,5,271755.0,Kevin Solano,Alajuela,Sinpe Móvil,Sí
58,2025-08-24,Parlante bluetooth,Audio,3,37400.0,Fabiola Araya,Guanacaste,Transferencia,No
281,2025-08-15,Funda protectora celular,Accesorios,2,5603.0,Ana Rojas,San José,Tarjeta,No
750,2025-01-17,Laptop gamer 15 pulgadas,Laptops,3,1105153.0,Luis Chinchilla,Heredia,Efectivo,No
278,2025-07-29,Celular gama media,Celulares,3,204324.0,Kevin Solano,Heredia,Efectivo,Sí
379,2025-08-20,Mouse inalámbrico,Accesorios,2,9231.0,Fabiola Araya,Guanacaste,Sinpe Móvil,Sí
788,2025-01-22,Laptop gamer 15 pulgadas,Laptops,2,954121.0,Kevin Solano,Guanacaste,Sinpe Móvil,No
84,2025-08-14,Laptop gamer 15 pulgadas,Laptops,1,1150700.0,Ana Rojas,Guanacaste,Efectivo,No
3,2025-01-04,Audífonos inalámbricos,Audio,3,19800.0,Kevin Solano,Cartago,Transferencia,Sí
42,2025-04-20,Monitor 27 pulgadas curvo,Monitores,2,293200.0,Luis Chinchilla,Guanacaste,Tarjeta,Sí
268,2025-01-22,Audífonos inalámbricos,Audio,3,23752.0,Luis Chinchilla,Cartago,Efectivo,Sí
87,2025-02-21,Cargador portátil (power bank),Accesorios,1,18000.0,Ana Rojas,San José,Transferencia,No
322,2025-01-31,Celular gama alta,Celulares,5,681836.0,Luis Chinchilla,Limón,Efectivo,Sí
753,2025-07-08,Celular gama media,Celulares,5,,Marisol Vargas,Puntarenas,Efectivo,no
415,2025-07-12,Celular gama alta,Celulares,2,418542.0,Marisol Vargas,Limón,Efectivo,No 
1095,2025-09-04,Celular gama alta,Celulares,5,508903.0,Kevin Solano,San José,Sinpe Móvil,Sí
431,2025-06-26,Laptop 14 pulgadas,Laptops,2,555906.0,Luis Chinchilla,Limón,Transferencia,Sí
503,2025-09-20,Audífonos inalámbricos,Audio,4,25963.0,Luis Chinchilla,Heredia,Sinpe Móvil,No
659,2025-02-23,Monitor 24 pulgadas,Monitores,1,133927.0,Fabiola Araya,Puntarenas,Tarjeta,Sí
951,2025-03-02,Cargador portátil (power bank),Accesorios,1,14579.0,Luis Chinchilla,San José,Efectivo,No
715,2025-02-21,Mouse inalámbrico,Accesorios,5,8282.0,Marisol Vargas,San José,Efectivo,No
909,2025-09-25,Laptop gamer 15 pulgadas,Laptops,3,969888.0,Marisol Vargas,San José,Efectivo,Sí
228,2025-02-05,Parlante bluetooth,Audio,1,43822.0,Kevin Solano,Alajuela,Efectivo,Sí
625,2025-02-13,Funda protectora celular,Accesorios,5,3649.0,Ana Rojas,San José,Sinpe Móvil,Sí
1063,2025-01-29,Parlante bluetooth,Audio,5,53196.0,Kevin Solano,Alajuela,Tarjeta,No
39,2025-04-11,Funda protectora celular,Accesorios,1,3300.0,Marisol Vargas,Puntarenas,Transferencia,No
558,2025-03-20,Monitor 24 pulgadas,Monitores,4,165235.0,Luis Chinchilla,Guanacaste,Sinpe Móvil,No
68,2025-09-25,Celular gama alta,Celulares,1,668000.0,Marisol Vargas,Limón,Sinpe Móvil,Sí
1100,2025-06-04,Celular gama media,Celulares,3,242535.0,Kevin Solano,Alajuela,Transferencia,Sí
317,2025-01-28,Cargador portátil (power bank),Accesorios,5,12506.0,ANA ROJAS,San José,Sinpe Móvil,Sí
178,2025-07-01,Parlante bluetooth,Audio,2,54700.0,Marisol Vargas,Puntarenas,Sinpe Móvil,Sí
489,2025-08-02,Audífonos inalámbricos,Audio,2,37414.0,Luis Chinchilla,Limón,Sinpe Móvil,No
1124,2025-01-28,Laptop 14 pulgadas,Laptops,1,499552.0,Luis Chinchilla,Puntarenas,Sinpe Móvil,No
54,2025-05-07,Laptop 14 pulgadas,Laptops,1,385500.0,Luis Chinchilla,Alajuela,Efectivo,No
315,2025-09-05,Laptop gamer 15 pulgadas,Laptops,3,1059538.0,Marisol Vargas,Heredia,Transferencia,Sí
136,2025-04-10,Monitor 27 pulgadas curvo,Monitores,1,313100.0,Kevin Solano,Heredia,Transferencia,No
522,2025-09-03,Parlante bluetooth,Audio,2,44956.0,Ana Rojas,Guanacaste,Efectivo,No
649,2025-03-17,Cargador portátil (power bank),Accesorios,5,17456.0,Ana Rojas,Limón,Tarjeta,No
256,2025-01-26,Cargador portátil (power bank),Accesorios,5,14721.0,Marisol Vargas,Puntarenas,Tarjeta,Sí
526,2025-08-02,Monitor 24 pulgadas,Monitores,3,120669.0,Kevin Solano,Puntarenas,Sinpe Móvil,sí
1126,2025-05-31,Laptop gamer 15 pulgadas,Laptops,4,940028.0,kevin solano,Heredia,Transferencia,Sí
1127,2025-08-09,Cargador portátil (power bank),Accesorios,1,13604.0,Kevin Solano,Limón,Sinpe Móvil,No
170,2025-05-28,Mouse inalámbrico,Accesorios,1,10500.0,fabiola araya,Cartago,Tarjeta,Sí
718,2025-01-21,Audífonos inalámbricos,Audio,5,26913.0,Ana Rojas,San José,Sinpe Móvil,No
1039,2025-09-01,Parlante bluetooth,Audio,2,28803.0,Kevin Solano,Heredia,Sinpe Móvil,No
306,2025-09-25,Audífonos inalámbricos,Audio,3,29782.0,Marisol Vargas,Limón,Sinpe Móvil,No
190,2025-09-15,Monitor 24 pulgadas,Monitores,4,172100.0,Marisol Vargas,Guanacaste,Tarjeta,No
802,2025-09-04,Laptop 14 pulgadas,Laptops,2,596476.0,Marisol Vargas,,Tarjeta,No
660,2025-09-05,Teclado mecánico,Accesorios,1,32195.0,Ana Rojas,Heredia,Sinpe Móvil,Sí
305,2025-08-10,Laptop 14 pulgadas,Laptops,3,532540.0,Fabiola Araya,San José,Efectivo,No
593,2025-05-21,Audífonos inalámbricos,Audio,1,30710.0,Kevin Solano,Alajuela,Transferencia,Sí
850,2025-04-28,Monitor 24 pulgadas,Monitores,2,161632.0,Fabiola Araya,San José,Efectivo,Sí
1042,2025-02-18,Monitor 27 pulgadas curvo,Monitores,5,252466.0,Marisol Vargas,,Efectivo,No
226,2025-07-03,Laptop 14 pulgadas,Laptops,3,524894.0,Luis Chinchilla,San José,Sinpe Móvil,Sí
896,2025-07-15,Cargador portátil (power bank),Accesorios,1,18361.0,Kevin Solano,Cartago,Sinpe Móvil,No
392,2025-01-29,Celular gama alta,Celulares,1,432460.0,Ana Rojas,Limón,Efectivo,No
781,2025-02-11,Celular gama media,Celulares,3,265926.0,ANA ROJAS,Heredia,Efectivo,No
653,2025-07-20,Parlante bluetooth,Audio,5,23069.0,Marisol Vargas,Cartago,Efectivo,sí
945,04/07/2025,Funda protectora celular,Accesorios,1,3638.0,Kevin Solano,Cartago,Transferencia,No
730,2025-01-28,Audífonos inalámbricos,Audio,1,30442.0,Ana Rojas,Heredia,Sinpe Móvil,No
979,2025-08-09,Laptop gamer 15 pulgadas,Laptops,4,979278.0,Kevin Solano,Heredia,Efectivo,Sí
812,2025-07-19,Audífonos inalámbricos,Audio,1,34305.0,Ana Rojas,Guanacaste,Sinpe Móvil,Sí
338,2025-09-05,Mouse inalámbrico,Accesorios,4,8109.0,Marisol Vargas,Puntarenas,Sinpe Móvil,Sí
1002,2025-05-24,Audífonos inalámbricos,Audio,3,35589.0,  Luis Chinchilla  ,San José,Tarjeta,Sí
285,2025-04-23,Mouse inalámbrico,Accesorios,2,11807.0,Marisol Vargas,Guanacaste,Tarjeta,Sí
341,2025-09-05,Funda protectora celular,Accesorios,3,4762.0,Marisol Vargas,Guanacaste,Sinpe Móvil,no
950,2025-09-12,Monitor 27 pulgadas curvo,Monitores,4,296182.0,Marisol Vargas,Puntarenas,Transferencia,Sí
979,2025-08-09,Laptop gamer 15 pulgadas,Laptops,4,979278.0,Kevin Solano,Heredia,Efectivo,Sí
83,2025-08-31,Funda protectora celular,Accesorios,3,,Kevin Solano,Guanacaste,Efectivo,No
249,2025-07-30,Mouse inalámbrico,Accesorios,4,12201.0,Luis Chinchilla,San José,Tarjeta,Sí
202,2025-06-03,Monitor 24 pulgadas,Monitores,1,149000.0,FABIOLA ARAYA,Guanacaste,Efectivo,No
877,2025-01-01,Funda protectora celular, Accesorios,5,,Ana Rojas,Alajuela,Transferencia,Sí
184,2025-04-29,Laptop gamer 15 pulgadas,Laptops,2,1047700.0,Ana Rojas,Alajuela,Sinpe Móvil,No
383,2025-06-09,Celular gama alta,Celulares,3,399188.0,Marisol Vargas,Puntarenas,Efectivo,No
465,2025-08-23,Monitor 27 pulgadas curvo,Monitores,2,238084.0,Kevin Solano,Alajuela,Tarjeta,No
636,2025-03-28,Cargador portátil (power bank),Accesorios,5,14198.0,Fabiola Araya,Guanacaste,Tarjeta,No
345,2025-03-15,Parlante bluetooth,Audio,4,50741.0,Ana Rojas,Alajuela,Sinpe Móvil,No
741,2025-09-16,Funda protectora celular,Accesorios,2,7730.0,Luis Chinchilla,Heredia,Tarjeta,No
890,2025-04-20,Celular gama alta,Celulares,4,617684.0,Kevin Solano,Cartago,Sinpe Móvil,No
594,2025-07-22,Cargador portátil (power bank),Accesorios,3,17712.0,Ana Rojas,Guanacaste,Tarjeta,Sí
300,2025-03-06,Laptop gamer 15 pulgadas,Laptops,4,1031424.0,Marisol Vargas,Puntarenas,Sinpe Móvil,No
771,2025-07-20,Audifonos inalambricos,AUDIO,5,22079.0,Ana Rojas,Cartago,Transferencia,Sí
647,2025-04-30,Cargador portátil (power bank),Accesorios,5,11626.0,Marisol Vargas,Guanacaste,Tarjeta,No
458,2025-05-29,Funda protectora celular,Accesorios,3,5470.0,Fabiola Araya,Cartago,Sinpe Móvil,Sí
244,2025-04-13,Monitor 27 pulgadas curvo,Monitores,3,256101.0,kevin solano,Guanacaste,Sinpe Móvil,Sí
364,2025-07-29,Celular gama media,Celulares,1,168870.0,Luis Chinchilla,,Sinpe Móvil,Sí
964,2025-01-19,Laptop gamer 15 pulgadas,Laptops,4,88767.0,Marisol Vargas,Alajuela,Tarjeta,No
261,2025-05-16,Monitor 27 pulgadas curvo,Monitores,2,308459.0,Luis Chinchilla,Puntarenas,Transferencia,No
849,2025-09-26,Mouse inalámbrico,Accesorios,1,7186.0,Marisol Vargas,Puntarenas,Tarjeta,No
656,2025-05-12,Teclado mecánico,Accesorios,1,37688.0,Luis Chinchilla,Guanacaste,Sinpe Móvil,No
23,2025-05-27,Monitor 27 pulgadas curvo,Monitores,1,314500.0,Fabiola Araya,Guanacaste,Sinpe Móvil,Sí
804,2025-06-29,Mouse inalámbrico,Accesorios,5,11810.0,marisol vargas,Alajuela,Sinpe Móvil,Sí
674,2025-08-23,Monitor 27 pulgadas curvo,Monitores,1,294082.0,Marisol Vargas,Heredia,Sinpe Móvil,Sí
770,2025-07-15,Funda protectora celular,Accesorios,4,7064.0,Luis Chinchilla,Guanacaste,Efectivo,Sí
232,17/01/2025,Laptop gamer 15 pulgadas,Laptops,3,894594.0,luis chinchilla,Puntarenas,Transferencia,Sí
797,2025-05-26,Parlante bluetooth,Audio,1,29148.0,Marisol Vargas,Guanacaste,Sinpe Móvil,Sí
422,2025-09-15,Mouse inalámbrico,Accesorios,3,8056.0,Luis Chinchilla,Cartago,Efectivo,Si
1060,2025-07-27,Parlante bluetooth, Audio,2,48065.0,Kevin Solano,San José,Sinpe Móvil,Sí
1005,2025-07-16,Mouse inalámbrico,Accesorios,2,10860.0,Ana Rojas,Puntarenas,Transferencia,Sí
546,2025-03-09,Laptop 14 pulgadas,Laptops,1,424974.0,Fabiola Araya,Heredia,Sinpe Móvil,Si
553,2025-08-09,Teclado mecánico,Accesorios,5,26586.0,Kevin Solano,Heredia,Efectivo,No
419,2025-03-12,Laptop gamer 15 pulgadas,Laptops,3,716612.0,Fabiola Araya,Limón,Transferencia,Sí
171,2025-07-07,Mouse inalámbrico,Accesorios,3,7800.0,Fabiola Araya,Heredia,Tarjeta,Sí
155,2025-09-09,Funda protectora celular,accesorios,1,3700.0,Ana Rojas,Heredia,Efectivo,No
990,2025-02-06,Cargador portátil (power bank),Accesorios,1,10728.0,Fabiola Araya,San José,Sinpe Móvil,Sí
765,2025-08-11,Laptop gamer 15 pulgadas,Laptops,1,1070914.0,Ana Rojas,Alajuela,Sinpe Móvil,No
313,2025-06-19,Parlante bluetooth,Audio,3,45194.0,Kevin Solano,Cartago,Transferencia,Sí
1044,2025-04-01,Funda protectora celular,Accesorios,2,6350.0,Luis Chinchilla,Alajuela,Transferencia,No
686,2025-09-08,Teclado mecánico,Accesorios,5,,Fabiola Araya,Heredia,Transferencia,No
260,2025-02-07,Teclado mecánico,Accesorios,1,32707.0,Marisol Vargas,Alajuela,Tarjeta,Sí
861,2025-03-19,Cargador portatil (power bank),Accesorios,1,,Luis Chinchilla,Puntarenas,Tarjeta,No
550,2025-03-27,Laptop 14 pulgadas,Laptops,4,446231.0,Kevin Solano,Guanacaste,Tarjeta,No
283,2025-03-17,Laptop gamer 15 pulgadas,Laptops,1,713569.0,Fabiola Araya,Heredia,Tarjeta,No
1136,2025-08-05,Celular gama media,CELULARES,5,219493.0,fabiola araya,Cartago,Tarjeta,No
512,2025-01-23,Parlante bluetooth,Audio,4,36486.0,Marisol Vargas,Puntarenas,Tarjeta,Sí
221,2025-02-27,Celular gama media,Celulares,1,250109.0,ANA ROJAS,,Efectivo,Sí
822,2025-05-12,Monitor 27 pulgadas curvo,Monitores,5,296688.0,Marisol Vargas,Cartago,Sinpe Móvil,No
1123,2025-02-25,Funda protectora celular,Accesorios,1,4378.0,Fabiola Araya,Puntarenas,Efectivo,Sí
809,2025-09-05,Mouse inalámbrico,Accesorios,2,8943.0,marisol vargas,Guanacaste,Transferencia,No
879,2025-05-25,Celular gama alta,Celulares,3,500235.0,Kevin Solano,Alajuela,Tarjeta,Sí
335,2025-04-15,Cargador portátil (power bank),Accesorios,3,15591.0,Kevin Solano,Guanacaste,Sinpe Móvil,Sí
910,2025-09-27,Mouse inalámbrico,Accesorios,-1,8186.0,Luis Chinchilla,Cartago,Efectivo,No
67,2025-01-28,Laptop gamer 15 pulgadas,LAPTOPS,1,1096100.0,Marisol Vargas,San José,Efectivo,Sí
795,2025-05-05,Cargador portátil (power bank),Accesorios,1,10535.0,Marisol Vargas,Puntarenas,Efectivo,Sí
182,2025-04-26,Cargador portátil (power bank),Accesorios,2,9700.0,Kevin Solano,,Sinpe Móvil,Sí
996,2025-02-10,Monitor 27 pulgadas curvo,Monitores,5,304212.0,Luis Chinchilla,Puntarenas,Sinpe Móvil,Sí
666,2025-07-15,Teclado mecánico,Accesorios,3,27545.0,Luis Chinchilla,Cartago,Sinpe Móvil,No
678,2025-07-25,Audífonos inalámbricos,Audio,1,24499.0,Kevin Solano,San José,Efectivo,Sí
307,2025-05-18,Mouse inalámbrico,Accesorios,3,12121.0,Luis Chinchilla,Cartago,Sinpe Móvil,Sí
701,2025-02-06,Cargador portátil (power bank),Accesorios,4,19673.0,Marisol Vargas,Alajuela,Sinpe Móvil,No
969,2025-02-06,Audífonos inalámbricos,Audio,3,29718.0,Kevin Solano,Heredia,Sinpe Móvil,Sí
287,2025-09-16,Celular gama alta,Celulares,4,639088.0,Marisol Vargas,Guanacaste,Efectivo,No
618,2025-07-10,Laptop 14 pulgadas,Laptops,1,5004900.0,Luis Chinchilla,Puntarenas,Efectivo,Sí
591,2025-01-25,Celular gama media,Celulares,1,163443.0,Fabiola Araya,Alajuela,Tarjeta,Sí
537,2025-01-22,Monitor 27 pulgadas curvo,Monitores,2,237719.0,Marisol Vargas,Guanacaste,Transferencia,Sí
45,2025-08-06,Laptop gamer 15 pulgadas,Laptops,1,1092300.0,Fabiola Araya,Heredia,Tarjeta,No
80,2025-08-22,Celular gama alta,Celulares,2,484300.0,Fabiola Araya,Puntarenas,Efectivo,No
566,2025-02-25,Teclado mecánico,Accesorios,2,41669.0,Ana Rojas,Heredia,Efectivo,Sí
873,2025-06-27,Monitor 27 pulgadas curvo,Monitores,4,288853.0,Luis Chinchilla,San José,Sinpe Móvil,No
601,2025-08-08,Teclado mecánico,Accesorios,3,39030.0,Ana Rojas,Cartago,Tarjeta,Sí
604,2025-01-07,Monitor 27 pulgadas curvo,Monitores,3,308525.0,Ana Rojas,Guanacaste,Sinpe Móvil,No
118,2025-09-07,Audífonos inalámbricos,Audio,2,24300.0,Luis Chinchilla,Heredia,Tarjeta,Sí
492,2025-02-27,Laptop gamer 15 pulgadas,Laptops,3,772872.0,Fabiola Araya,San José,Transferencia,Sí
309,2025-05-13,Teclado mecánico,Accesorios,3,29314.0,Marisol Vargas,San José,Transferencia,Sí
494,2025-06-17,Monitor 27 pulgadas curvo,Monitores,1,256282.0,Luis Chinchilla,Puntarenas,Efectivo,No
1046,01/04/2025,Monitor 27 pulgadas curvo,Monitores,2,293978.0,Fabiola Araya,Heredia,Tarjeta,Sí
930,2025-07-22,Monitor 27 pulgadas curvo,Monitores,1,271655.0,Marisol Vargas,Limón,Tarjeta,Sí
47,2025-08-19,Monitor 27 pulgadas curvo,Monitores,1,222100.0,Marisol Vargas,Limón,Sinpe Móvil,No
389,2025-03-22,Audífonos inalámbricos,Audio,5,16194.0,Luis Chinchilla,Cartago,Sinpe Móvil,No
124,2025-02-08,Cargador portátil (power bank),Accesorios,1,19000.0,kevin solano,Heredia,Sinpe Móvil,No
27,2025-01-05,Laptop gamer 15 pulgadas,Laptops,2,1199100.0,Ana Rojas,San José,Efectivo,No
824,2025-03-01,Funda protectora celular,Accesorios,3,3518.0,Ana Rojas,San José,Efectivo,No
57,2025-01-22,Laptop gamer 15 pulgadas,Laptops,1,885600.0,Marisol Vargas,San José,Transferencia,Sí
1031,2025-03-14,Cargador portátil (power bank),Accesorios,4,16846.0,Fabiola Araya,Heredia,Tarjeta,sí
1041,2025-06-04,Celular gama media,Celulares,3,206536.0,Marisol Vargas,Puntarenas,Efectivo,si
1023,2025-09-04,Mouse inalámbrico,Accesorios,1,10244.0,Kevin Solano,Cartago,Transferencia,No
291,01/08/2025,Laptop 14 pulgadas,Laptops,4,459412.0,Fabiola Araya,Guanacaste,Tarjeta,Sí
774,2025-05-10,Laptop gamer 15 pulgadas,Laptops,2,748457.0,  Marisol Vargas  ,Limón,Tarjeta,No
365,2025-05-01,Laptop 14 pulgadas,Laptops,5,412559.0,Fabiola Araya,Cartago,Sinpe Móvil,Sí
180,2025-07-14,Laptop gamer 15 pulgadas,Laptops,4,867000.0,Marisol Vargas,Limón,Efectivo,Sí
982,2025-09-11,Teclado mecánico,Accesorios,1,25720.0,Ana Rojas,Heredia,Tarjeta,Sí
786,2025-03-26,Celular gama alta,Celulares,5,,Ana Rojas,Puntarenas,Efectivo,No 
957,2025-01-29,Parlante bluetooth,Audio,5,31878.0,Kevin Solano,Heredia,Tarjeta,SI
616,2025-05-06,Cargador portátil (power bank),Accesorios,1,14661.0,Fabiola Araya,Puntarenas,Efectivo,Sí
300,2025-03-06,Laptop gamer 15 pulgadas,Laptops,4,1031424.0,Marisol Vargas,Puntarenas,Sinpe Móvil,No
1015,2025-04-05,Parlante bluetooth,Audio,3,31721.0,Luis Chinchilla,San José,Sinpe Móvil,No
106,24/09/2025,Laptop 14 pulgadas,Laptops,1,553700.0,Ana Rojas,San José,Sinpe Móvil,No
927,2025-04-14,Parlante bluetooth,Audio,2,24182.0,Fabiola Araya,Limón,Sinpe Móvil,No
